Titolo,Artista,Copertina,Link Album,Preview Audio,Riproduzioni,Popolarità,Release Date,Esplicito
WORLDS APART,OLIIVER,https://i.scdn.co/image/ab67616d0000b27356d71ecfe3c24d50691e519a,https://open.spotify.com/album/6aPSz8RqTspo62sUUC4vwX,https://p.scdn.co/mp3-preview/4b8d6949632a0b634853f44eb49d4f1146678e65?cid=993e1347272c4cff9638492a4e498637,,33,2025-09-19,TRUE
impulse,obey,https://i.scdn.co/image/ab67616d0000b273dea9e382f9df5ca4b339122e,https://open.spotify.com/album/0VmghlyV7NxyPohX9FAsMD,https://p.scdn.co/mp3-preview/27fe3e99553f565572c761f25039392704e5c469?cid=993e1347272c4cff9638492a4e498637,,25,2026-03-27,TRUE
Papi,Ax3S,https://i.scdn.co/image/ab67616d0000b2732704b59bb106bacdb5913bc4,https://open.spotify.com/album/1oVHWzIiohv6tBpFgU2QGo,https://p.scdn.co/mp3-preview/e389265335249b3594149964c22a99fbd316c20c?cid=993e1347272c4cff9638492a4e498637,,27,2025-11-21,TRUE
One Day,jxnko,https://i.scdn.co/image/ab67616d0000b273536ae85aeab9060f7bd881ad,https://open.spotify.com/album/6WxKTEb2N7eVufFZglroV4,https://p.scdn.co/mp3-preview/cc033d8c6a90a959c33b0ba235a85bd44ad744a9?cid=993e1347272c4cff9638492a4e498637,,34,2025-08-15,FALSE
The Ocean,jxnko,https://i.scdn.co/image/ab67616d0000b273e7d162b57475b66dfacc5bb4,https://open.spotify.com/album/0cF87IBAlrWSTdFpYeukSf,https://p.scdn.co/mp3-preview/951de74d8a99bcad29e5f0003bdf0af819c50648?cid=993e1347272c4cff9638492a4e498637,,25,2024-12-20,FALSE
Hurt,Projxkt,https://i.scdn.co/image/ab67616d0000b2739dd6ad107a120087e779ab5b,https://open.spotify.com/album/30Ue1GbnIVMAGHetmBukcD,https://p.scdn.co/mp3-preview/56adf58fb825265f7a0722929a55af8e98f9ffdc?cid=993e1347272c4cff9638492a4e498637,,24,2026-02-27,FALSE
DEVIL'S SIRENS,OLIIVER,https://i.scdn.co/image/ab67616d0000b27356d71ecfe3c24d50691e519a,https://open.spotify.com/album/6aPSz8RqTspo62sUUC4vwX,https://p.scdn.co/mp3-preview/3bcb0aba964edcab6345b13b36d5d874e49e5b05?cid=993e1347272c4cff9638492a4e498637,,38,2025-09-19,TRUE
Prokyon A/B,Asura Ghai,https://i.scdn.co/image/ab67616d0000b2730a380c1097b12d3e997b3f04,https://open.spotify.com/album/799uTAEpC9r4T838kOK4C3,https://p.scdn.co/mp3-preview/c780d4be57d9eb895051ec45cc0195c3849b7f68?cid=993e1347272c4cff9638492a4e498637,,15,2026-03-13,FALSE
Slide,MRJay,https://i.scdn.co/image/ab67616d0000b273badcb74e0e5c0a7f79308938,https://open.spotify.com/album/0yDIabPxxWJKXbbY36pcRA,https://p.scdn.co/mp3-preview/dd8a04728bbb1869ea3171018691988adcc396cd?cid=993e1347272c4cff9638492a4e498637,,36,2026-02-14,FALSE
Afterglow,ROUDS,https://i.scdn.co/image/ab67616d0000b27311b5b3aae6beebe7f87b2565,https://open.spotify.com/album/2YaAjvobfjQBLH7Ka8R6vj,https://p.scdn.co/mp3-preview/19facf09ac886adb562d563eeb9479e9b3f3391a?cid=993e1347272c4cff9638492a4e498637,,48,2025-04-22,TRUE
offline,SHEXPIR,https://i.scdn.co/image/ab67616d0000b273436790fd09b67d6e32b57cc4,https://open.spotify.com/album/1i1ZwMf2BUf5cQ8A8KQWXD,https://p.scdn.co/mp3-preview/b932b1fac2830b741750e1b542f1b6a12523154e?cid=993e1347272c4cff9638492a4e498637,,37,2022-10-25,FALSE
On my throne,rvnti,https://i.scdn.co/image/ab67616d0000b273c4aa5b45f3d119e16b14b939,https://open.spotify.com/album/68eQICaN1wtqMgNqbj223q,https://p.scdn.co/mp3-preview/eb978ef32032682a0847b3694f8f63721ff3b0e8?cid=993e1347272c4cff9638492a4e498637,,50,2024-06-14,TRUE
Pax,Kords,https://i.scdn.co/image/ab67616d0000b273883037a051b4e79821a91a11,https://open.spotify.com/album/4Uh6iMddO6dAhhmpTZ2lyv,https://p.scdn.co/mp3-preview/1f26820a50558fafa155f2e4fc59788e075cf070?cid=993e1347272c4cff9638492a4e498637,,19,2025-11-10,FALSE
CHASM,Bright Ideas,https://i.scdn.co/image/ab67616d0000b273101690080be5fe13e3af163b,https://open.spotify.com/album/3t2uVVmOsBfUuT5PrfcuW8,https://p.scdn.co/mp3-preview/724f4596c03aabd82fa143f4e4b1ddcd3d41bf2e?cid=993e1347272c4cff9638492a4e498637,,20,2026-02-27,FALSE
Homebound,MRJay,https://i.scdn.co/image/ab67616d0000b27374e281c95a040aac74b620fa,https://open.spotify.com/album/0eNS4N22HUli6h8kbyvpCQ,https://p.scdn.co/mp3-preview/6a16bff5b4a607d6ff8e39022c2b451f56588fa7?cid=993e1347272c4cff9638492a4e498637,,35,2026-03-20,FALSE
Running Away,pexØt,https://i.scdn.co/image/ab67616d0000b27375b3bb0f0121ab6e8809d30d,https://open.spotify.com/album/7ic1IgeO5AFkUoPZsoeZlU,https://p.scdn.co/mp3-preview/b2cf079a463a079fc97ce5d7923bea04619dd276?cid=993e1347272c4cff9638492a4e498637,,35,2026-02-20,FALSE
Goodbye,jxnko,https://i.scdn.co/image/ab67616d0000b273e4c930ae60282b6088706e74,https://open.spotify.com/album/3TUFzLjPM3KoxAxeocllhT,https://p.scdn.co/mp3-preview/bc552d82acfc7fdd9f6306f8610a2886b471d1b4?cid=993e1347272c4cff9638492a4e498637,,27,2025-08-01,FALSE
